foreign1,foreign2,definitions,level
頂上,ちょうじょう,top; summit; peak,JLPT N-3
豆,まめ,"legume (esp. edible legumes or their seeds, such as beans, peas, pulses, etc.); beans; peas / soya bean (Glycine max); soybean; soy / female genitalia (esp. the clitoris) / kidney / miniature; tiny / child",JLPT N-3
不思議,ふしぎ,wonderful; marvelous; strange; incredible; amazing; curious; miraculous; mysterious,JLPT N-3
物事,ものごと,things; everything,JLPT N-3
粉,こな,flour; meal; powder; dust,JLPT N-3
塀,へい,wall / fence,JLPT N-3
便り,たより,news; tidings; information; correspondence; letter,JLPT N-3
泡,あわ,bubble; foam; froth; head on beer,JLPT N-3
わた,綿,cotton plant (Gossypium spp.) / batting; wadding; padding,JLPT N-3
毛布,もうふ,blanket,JLPT N-3
夜中,よなか,middle of the night; dead of night,JLPT N-3
商人,しょうにん,merchant; trader; tradesman; dealer; shopkeeper,JLPT N-3
梅雨,つゆ,rainy season (in Japan from early June to mid-July) / rain during the rainy season,JLPT N-3
明かり,あかり,light; illumination; glow; gleam / lamp; light,JLPT N-3
空き,あき,space; room; gap; emptiness / vacancy; opening; empty seat / free time; time to spare / disuse; unused thing,JLPT N-3
学,がく,learning; scholarship; study; erudition; knowledge; education / study of ...; -ology; -ics,JLPT N-3
意志,いし,will; volition; intention; intent; determination,JLPT N-3
越す,こす,to cross over (e.g. mountain); to go across / to go over (e.g. with audience) / to pass time (e.g. a winter) / to surpass; to be better than; to exceed / to move house / to go; to come,JLPT N-3
さる,猿,"monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate / sly person / idiot; hick / sliding wooden bolt (for holding a door or window shut) / clasp used to control the height of a pot-hook / bathhouse prostitute",JLPT N-3
我慢,がまん,patience; endurance; perseverance; tolerance; self-control; self-denial,JLPT N-3
外す,はずす,"to remove; to take off; to detach; to unfasten; to undo / to drop (e.g. from a team); to remove (from a position); to exclude; to expel / to leave (e.g. one's seat); to go away from; to step out; to slip away / to dodge (a question, blow, etc.); to evade; to sidestep; to avoid (e.g. peak season) / to miss (a target, chance, punch, etc.)",JLPT N-3
疑う,うたがう,to doubt; to distrust; to be suspicious of; to suspect,JLPT N-3
勤め,つとめ,service; duty; business; responsibility; task / Buddhist religious services,JLPT N-3
偶然,ぐうぜん,coincidence; chance; accident; fortuity / by chance; unexpectedly; accidentally / contingency (philosophy),JLPT N-3
表す,あらわす,to represent; to signify; to stand for / to reveal; to show; to display / to express / to make widely known,JLPT N-3
構う,かまう,to mind; to care about; to be concerned about; to have a regard for / to be an issue; to matter; to create inconvenience / to keep company; to care for; to look after; to entertain; to pay attention to; to spend time with / to interfere with; to meddle in / to tease / to banish; to prohibit,JLPT N-3
芝生,しばふ,lawn,JLPT N-3
邪魔,じゃま,hindrance; obstacle; nuisance / to visit (somebody's home) / demon who hinders Buddhist training; demon who obstructs sentient beings from maintaining moral behaviour,JLPT N-3
したがって,従って,therefore; consequently; accordingly,JLPT N-3
書物,しょもつ,book; volume,JLPT N-3
親友,しんゆう,"close friend; bosom (old, intimate) friend; buddy; crony; chum",JLPT N-3
素晴らしい,すばらしい,wonderful; splendid; magnificent,JLPT N-3
体温,たいおん,"temperature; body temperature (human, animal)",JLPT N-3
題,だい,title; subject; theme; topic / problem (on a test); question / counter for questions (on a test),JLPT N-3
単語,たんご,word; vocabulary; (usually) single-character word,JLPT N-3
道徳,どうとく,morals,JLPT N-3
謎,なぞ,riddle; puzzle; enigma; mystery / enigmatic; mysterious,JLPT N-3
破る,やぶる,"to tear; to rip; to break; to destroy / to break through (cordon, opponent's defense, etc.); to breach / to defeat; to beat / to break (e.g. silence); to disturb (e.g. peace); to shatter (e.g. dream); to disrupt; to spoil / to violate (e.g. rule); to break (e.g. promise); to infringe / to break (a record)",JLPT N-3
無視,むし,disregarding; ignoring,JLPT N-3
夜明け,よあけ,dawn; daybreak,JLPT N-3
悪口,あっこう,abuse; insult; slander; evil speaking; bad mouth,JLPT N-3
かわいそう,可哀相,poor; pitiable; pathetic; pitiful,JLPT N-3
気づく,きづく,to notice; to recognize; to recognise; to become aware of; to perceive; to realize; to realise,JLPT N-3
食う,くう,"to eat / to live; to make a living; to survive / to bite; to sting (as insects do) / to tease; to torment; to taunt; to make light of; to make fun of / to encroach on; to eat into; to consume / to defeat a superior; to threaten a position / to consume time and-or resources / to receive something (usu. an unfavourable event) / to have sexual relations with a woman, esp. for the first time",JLPT N-3
匂い,におい,odour; odor; scent; smell; stench / aura; whiff; smacks of ...; sense; flavour; flavor,JLPT N-3
段,だん,"step; stair; (flight of) steps; (row of) stitches; columns (of print) / grade; rank; level / counter for breaks in written language (or speech, etc.) / dan; senior rank in martial arts, go, shogi, etc.",JLPT N-3
